id,name,short_name,organization_type,industry_chain_role,country,city,founded_year,website,market_segment,tech_routes,products_services,commercialization_stage,financing_stage,total_financing,latest_financing_date,investors,valuation_range,revenue_status,key_team,customers,suppliers,competitors,advantages,risks,tracking_status,investment_priority,cooperation_priority,relevance_to_our_team,credibility,verification_status,source,source_link,entered_by,information_type,created_at,updated_at,notes
1,华光窄线宽激光技术有限公司,华光激光,上游核心零部件企业,上游,中国,武汉,2017,https://example.com/laser,综合,离子阱;冷原子传感;NV色心,窄线宽激光器、稳频模块、光学频率锁定系统,小批量交付,A轮,数千万元,2025-04-12,启明量子基金,未披露,科研客户收入增长,激光稳频和光机系统团队,离子阱整机企业;冷原子传感团队,光学元件厂商,进口窄线宽激光供应商,交付响应快，具备定制波长能力,高端器件仍依赖进口,持续跟踪,A,A,高,高,已验证,示例数据,,系统,事实,2026-05-29T16:23:53,2026-05-29T16:23:53,上游卡点属性较强，适合访谈。
2,北辰真空系统有限公司,北辰真空,上游核心零部件企业,上游,中国,北京,2015,https://example.com/vacuum,综合,离子阱;中性原子;冷原子传感,UHV 真空腔、离子泵、烘烤系统、真空集成服务,规模销售,未融资,,,,,稳定收入,真空工程团队,高校科研院所;量子整机公司,真空泵和阀门厂商,海外 UHV 厂商,工程交付经验丰富,极限真空指标需持续验证,已访谈,B,A,高,高,待验证,示例数据,,系统,判断,2026-05-29T16:23:53,2026-05-29T16:23:53,适合作为供应链访谈对象。
3,极低温科学仪器股份有限公司,极低温,上游核心零部件企业,上游,中国,合肥,2019,https://example.com/cryogenic,量子计算,超导量子,稀释制冷机、低温测量链路、低温工程服务,工程样机,Pre-A轮,数千万元,2025-08-20,科创产业基金,未披露,示范交付,低温物理与制冷工程团队,超导量子计算实验室,低温阀门;压缩机,海外稀释制冷机厂商,国产替代价值高,可靠性和批量交付仍需验证,已接触,A,B,中,中,待验证,示例数据,,系统,判断,2026-05-29T16:23:53,2026-05-29T16:23:53,超导路线关键上游。
4,星衡测控电子有限公司,星衡测控,上游核心零部件企业,上游,中国,上海,2020,https://example.com/control,综合,超导量子;离子阱;NV色心,AWG、FPGA 控制器、DAC/ADC、同步时钟模块,小批量交付,天使轮,千万元级,2024-12-05,硬科技天使基金,未披露,早期收入,高速电子学与量子控制软件团队,高校;量子计算整机企业,高速芯片供应商,通用仪器厂商,软硬件一体化,高端芯片供应风险,持续跟踪,A,A,高,中,待验证,示例数据,,系统,推测,2026-05-29T16:23:53,2026-05-29T16:23:53,多路线共用上游，有平台化价值。
5,棱镜光学元件有限公司,棱镜光学,上游核心零部件企业,上游,中国,长春,2012,https://example.com/optics,综合,离子阱;中性原子;QKD;冷原子传感,高反镜、偏振器、光学镀膜、精密光机组件,规模销售,未融资,,,,,稳定收入,光学加工与镀膜团队,科研仪器厂商;QKD设备商,光学玻璃供应商,进口光学元件厂商,成本和交期优势,极限损耗和一致性指标需验证,未接触,B,B,中,中,待验证,示例数据,,系统,事实,2026-05-29T16:23:53,2026-05-29T16:23:53,通用上游供应商。
6,云阱量子计算有限公司,云阱量子,整机或整体解决方案提供商,中游,中国,深圳,2021,https://example.com/ionq,量子计算,离子阱,离子阱量子计算整机、量子云访问、控制软件,工程样机,A轮,1.2亿元,2025-06-18,湾区科创基金;高校成果转化基金,10-20亿元,科研客户试用,离子阱实验和系统工程团队,高校;科研院所;云平台客户,华光激光;北辰真空;星衡测控,其他离子阱整机公司,系统集成和软件控制能力,规模化和真实应用场景仍待验证,已尽调,A,A,高,高,已验证,示例数据,,系统,事实,2026-05-29T16:23:53,2026-05-29T16:23:53,整机标的，适合持续访谈。
7,安密量子通信系统有限公司,安密量通,整机或整体解决方案提供商,中游,中国,济南,2016,https://example.com/qkd,量子通信,QKD;量子安全通信,QKD设备、密钥管理平台、量子安全网络方案,示范项目,B轮,3亿元,2024-11-10,国资平台;通信产业基金,20-30亿元,项目制收入,通信系统和密码安全团队,通信运营商;政务云;金融客户,单光子探测器厂商;光学元件厂商,传统密码安全厂商;量子通信设备商,行业项目经验,标准化和规模复制难度,已接触,B,B,中,高,已验证,示例数据,,系统,事实,2026-05-29T16:23:53,2026-05-29T16:23:53,通信方向商业化较早。
8,星图量子测量科技有限公司,星图测量,整机或整体解决方案提供商,中游,中国,杭州,2022,https://example.com/sensing,量子精密测量,NV色心;冷原子传感,量子磁力仪、冷原子重力仪、工业检测设备,小批量交付,Pre-A轮,5000万元,2025-03-30,先进制造基金,5-10亿元,示范项目和科研仪器收入,传感器系统和场景应用团队,电网公司;工业检测客户;高校,华光激光;棱镜光学;北辰真空,传统高端传感器厂商,场景适配能力强,量子优势需在现场验证,已访谈,A,A,高,中,待验证,示例数据,,系统,判断,2026-05-29T16:23:53,2026-05-29T16:23:53,精密测量方向值得优先看真实客户反馈。
9,东湖量子信息研究院,东湖量研院,高校科研院所,支撑机构,中国,武汉,2018,https://example.com/institute,综合,离子阱;超导量子;QKD,基础研究、公共平台、成果转化,科研平台,,,,,,,量子信息科研团队,政府平台;企业联合实验室,,,专家资源密集,产业化机制待观察,持续跟踪,B,A,高,高,已验证,示例数据,,系统,事实,2026-05-29T16:23:53,2026-05-29T16:23:53,专家和成果转化来源。
10,华东通信运营商集团,华东运营商,下游客户或应用方,下游,中国,南京,1998,https://example.com/operator,量子通信,QKD;量子安全通信,通信网络、政企专线、安全通信服务,采购验证,,,,,,,政企网络和安全业务团队,政企客户,安密量通,,客户网络和示范项目资源,采购周期长,已接触,C,A,中,中,待验证,示例数据,,系统,判断,2026-05-29T16:23:53,2026-05-29T16:23:53,QKD 下游典型客户。
11,国网量测技术中心,国网量测,下游客户或应用方,下游,中国,北京,2009,https://example.com/grid,量子精密测量,NV色心;冷原子传感,电网设备检测、地下设施探测、时频同步,示范项目,,,,,,,电力设备检测团队,,星图测量,传统检测仪器供应商,应用场景明确,对可靠性和标准化要求高,已访谈,C,A,高,中,待验证,示例数据,,系统,观点,2026-05-29T16:23:53,2026-05-29T16:23:53,验证真实需求的重要下游。
12,启明量子基金,启明量子,投资机构,支撑机构,中国,上海,2020,https://example.com/fund,综合,离子阱;超导量子;冷原子传感,硬科技股权投资,,,,,,,,硬科技投资团队,,,,产业资源和资金,估值周期波动,已接触,B,B,中,中,待验证,示例数据,,系统,事实,2026-05-29T16:23:53,2026-05-29T16:23:53,可用于交叉验证融资信息。
